Aluguel,Extras,Localização,Tamanho,Quartos,Banheiros,Bairro
R$ 2.500 /mês,0.0,"Rua Historiador Francisco Fausto de Souza, 3445 - Capim Macio, Natal - RN",55,2 Quartos,1 Banheiro,Capim Macio
R$ 1.600 /mês,650.0,"Lagoa Seca, Natal - RN",114,3 Quartos,3 Banheiros,Lagoa Seca
R$ 2.300 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",76,3 Quartos,1 Banheiro,Capim Macio
R$ 2.200 /mês,0.0,"Avenida Porto de Pedras, 4500 - Neópolis, Natal - RN",56,2 Quartos,2 Banheiros,Neópolis
R$ 2.500 /mês,0.0,"Rua das Perdizes, 7979 - Pitimbu, Natal - RN",56,2 Quartos,2 Banheiros,Pitimbu
R$ 1.750 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.500 /mês,0.0,"Avenida Doutor João Medeiros Filho, 5100 - Redinha, Natal - RN",54,2 Quartos,2 Banheiros,Redinha
R$ 3.000 /mês,0.0,"Rua Demócrito de Souza Paiva, 818 - Lagoa Nova, Natal - RN",70,3 Quartos,2 Banheiros,Lagoa Nova
R$ 3.900 /mês,0.0,"Avenida Governador Sílvio Pedroza - Areia Preta, Natal - RN",70,1 Quarto,2 Banheiros,Areia Preta
R$ 2.800 /mês,0.0,"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",75,3 Quartos,2 Banheiros,Ribeira
R$ 2.300 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",65,3 Quartos,1 Banheiro,Capim Macio
R$ 1.380 /mês,0.0,"Avenida Olavo Lacerda Montenegro - PARNAMIRIM, Parnamirim - RN",56,2 Quartos,2 Banheiros,PARNAMIRIM
R$ 2.100 /mês,0.0,"Rua Aurélio Pinheiro, 637 - Barro Vermelho, Natal - RN",60,2 Quartos,2 Banheiros,Barro Vermelho
